,Jurisdiction,Abbreviated District Name,Full District Name,Type of Zoning District,1-Family Treatment,1-Family Max. Height,1-Family Floor to Area Ratio,4+-Family Treatment,1-Family Min. Lot,1-Family Min. # Parking Spaces,Accessory Dwelling Unit (ADU) Treatment,zone_area,zone_pct,single_family,num_suffix
24,Hawaii County,CG-7.5,"General Commercial - 7,500 square feet",Mixed with Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,631508.9600255688,0.0,False,7.5
31,Hawaii County,CV-1a,Village Commercial - 1 acre,Mixed with Residential,Allowed/Conditional,30,,Allowed/Conditional,1,2,Prohibited,4384.150260511637,0.0,False,1.0
32,Hawaii County,CV-20,"Village Commercial - 20,000 square feet",Mixed with Residential,Allowed/Conditional,30,,Allowed/Conditional,0.46,2,Prohibited,151669.29925512042,0.0,False,20.0
33,Hawaii County,CV-38,"Village Commercial - 38,000 square feet",Mixed with Residential,Allowed/Conditional,30,,Allowed/Conditional,0.87,2,Prohibited,158635.84607591148,0.0,False,38.0
34,Hawaii County,CV-40,"Village Commercial - 40,000 square feet",Mixed with Residential,Allowed/Conditional,30,,Allowed/Conditional,0.92,2,Prohibited,16819.173725377477,0.0,False,40.0
35,Hawaii County,CV-7.5,"Village Commercial - 7,500 square feet",Mixed with Residential,Allowed/Conditional,30,,Allowed/Conditional,0.17,2,Prohibited,1501415.9768769103,0.0,False,7.5
36,Hawaii County,FA-1a,Family Agricultural District - minimum 1 acre,Mixed with Residential,Allowed/Conditional,35,,Prohibited,1,2,Allowed/Conditional,2443991.395534429,0.0,False,1.0
37,Hawaii County,FA-2a,Family Agricultural District - minimum 2 acres,Mixed with Residential,Allowed/Conditional,35,,Prohibited,2,2,Allowed/Conditional,543163.3003266645,0.0,False,2.0
38,Hawaii County,FA-3a,Family Agricultural District - minimum 3 acres,Mixed with Residential,Allowed/Conditional,35,,Prohibited,3,2,Allowed/Conditional,1284137.103861954,0.0,False,3.0
39,Hawaii County,FA-5a,Family Agricultural District - minimum 5 acres,Mixed with Residential,Allowed/Conditional,35,,Prohibited,5,2,Allowed/Conditional,282825.61416139064,0.0,False,5.0
30,Hawaii County,CV-15,"Village Commercial - 15,000 square feet",Mixed with Residential,Allowed/Conditional,30,,Allowed/Conditional,0.34,2,Prohibited,1826.4216037840204,0.0,False,15.0
41,Hawaii County,MCX-10,"Industrial-Commercial Mixed Use - 10,000 square feet",Nonresidential,Prohibited,,,Prohibited,,,Prohibited,1172.5355352098031,0.0,False,10.0
42,Hawaii County,MCX-1a,Industrial-Commercial Mixed Use - 1 acres,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,429808.77497687726,0.0,False,1.0
44,Hawaii County,MCX-3a,Industrial-Commercial Mixed Use - 3 acres,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,13110.996523700029,0.0,False,3.0
46,Hawaii County,MG-15a,General Industrial - 15 acres,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,62584.56600282089,0.0,False,15.0
45,Hawaii County,MG-10a,General Industrial - 10 acres,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,265214.0055144343,0.0,False,10.0
43,Hawaii County,MCX-20,"Industrial-Commercial Mixed Use - 20,000 square feet",Nonresidential,Prohibited,,,Prohibited,,,Prohibited,1616608.795792219,0.0,False,20.0
3,Hawaii County,A-200a,Agricultural District - minimum 200 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,5689121.314293619,0.1,False,200.0
47,Hawaii County,MG-1a,General Industrial - 1 acres,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,11046177.773352643,0.1,False,1.0
94,Hawaii County,RS-7.5,"Single-Family Residential - 7,500 squre feet",Primarily Residential,Allowed/Conditional,35,,Prohibited,0.17,2,Allowed/Conditional,7857671.235107879,0.1,True,7.5
90,Hawaii County,RS-20,"Single-Family Residential - 20,000 squre feet",Primarily Residential,Allowed/Conditional,35,,Prohibited,0.46,2,Allowed/Conditional,9339469.224299854,0.1,True,20.0
57,Hawaii County,PD,Project District,Primarily Residential,Allowed/Conditional,,,Allowed/Conditional,,2,Allowed/Conditional,10842688.662281983,0.1,False,
59,Hawaii County,RA-1a,Residential & Agricultural - Minimum 1 acre,Mixed with Residential,Allowed/Conditional,35,,Prohibited,1,2,Allowed/Conditional,7370396.046061068,0.1,True,1.0
53,Hawaii County,ML-20,"Limited Industrial - 20,000 square feet",Nonresidential,Prohibited,,,Prohibited,,,Prohibited,6776561.434263377,0.1,False,20.0
89,Hawaii County,RS-15,"Single-Family Residential - 15,000 square feet",Primarily Residential,Allowed/Conditional,35,,Prohibited,0.34,2,Allowed/Conditional,22094934.66691921,0.2,True,15.0
87,Hawaii County,RS-10,"Single-Family Residential - 10,000 square feet",Primarily Residential,Allowed/Conditional,35,,Prohibited,0.23,2,Allowed/Conditional,34377036.01790496,0.3,True,10.0
16,Hawaii County,A-8000a,Agricultural District - minimum 8000 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,32426486.649983626,0.3,False,8000.0
1,Hawaii County,A-10a,Agricultural District - minimum 10 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,75746627.02810444,0.7000000000000001,False,10.0
2,Hawaii County,A-1a,Agricultural District - minimum 1 acre,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,228154822.54931113,2.1999999999999997,False,1.0
8,Hawaii County,A-3a,Agricultural District - minimum 3 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,258017369.93450388,2.5,False,3.0
55,Hawaii County,NP,National Park,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,819861520.7029848,7.9,False,
56,Hawaii County,OPEN,Open District,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,824541506.1105694,8.0,False,
12,Hawaii County,A-5a,Agricultural District - minimum 5 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,883437574.9661667,8.5,False,5.0
10,Hawaii County,A-40a,Agricultural District - minimum 40 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,1190730644.4580119,11.5,False,40.0
4,Hawaii County,A-20a,Agricultural District - minimum 20 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,2878175095.924348,27.800000000000004,False,20.0
40,Hawaii County,FR,Forest Reserve,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,2970162178.463729,28.7,False,
